,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
213,Rabbinic018,0.012991976,0.011845625,1,0,0.098765432,78,0.320987654,0.005349637,0.003056935,0.001910585,0.012609859,0.01987008,0,0.011081391,0.300726022,0.747042729,0.628317545,4,Rabbinic
214,MehrBaba001,0.027745665,0.024277457,1,0,0.420454545,58,0.659090909,0,0,0.001734104,0.025433526,0.026011561,0,0.005780347,0.292485549,0.665596832,0.600492472,6,MehrBaba
215,Rabbinic024,0.015338571,0.023007856,0,1,0.174940898,180,0.425531915,0.001683502,0.005237561,0.0114104,0.011971568,0.028245417,0.000561167,0.016647961,0.201084923,0.717585129,0.694897764,4,Rabbinic
216,Rabbinic040,0.04735062,0.004509583,1,0,0.266666667,34,0.453333333,0.003382187,0,0.010146561,0.005636979,0.046223224,0.003382187,0.014656144,0.349492672,0.670966752,0.52819927,4,Rabbinic
217,Rabbinic016,0.011939626,0.020274837,0,1,0.240853659,181,0.551829268,0.008335211,0.006983555,0.008785763,0.027258392,0.029736427,0.003604415,0.016445145,0.206578058,0.667062063,0.657233809,4,Rabbinic
218,YV39,0.002754821,0,1,0,0.52,15,0.6,0.033057851,0,0,0.008264463,0.005509642,0,0.005509642,0.438016529,0.813786735,0.649262264,1,YV
219,Bahai03,0.020887728,0.01305483,1,0,0.409090909,24,0.545454545,0.022193211,0.003916449,0,0.007832898,0.011749347,0,0.010443864,0.398172324,0.763982338,0.641916478,5,Bahai
220,Rabbinic041,0.019906323,0.018442623,1,0,0.306034483,112,0.482758621,0.00175644,0.003220141,0.017564403,0.006147541,0.038934426,0.00058548,0.016393443,0.228337237,0.654005671,0.540882507,4,Rabbinic
221,ACLU04,0.008653846,0.020192308,0,1,0.4,17,0.425,0.003846154,0.001923077,0,0.023076923,0,0,0.005769231,0.381730769,0.664600565,0.442937413,3,ACLU
222,Bahai53,0.034825871,0.00331675,1,0,0.193548387,9,0.290322581,0.001658375,0,0.001658375,0.006633499,0.001658375,0.001658375,0.004975124,0.466003317,0.751534391,0.523941468,5,Bahai
223,SeaShepherds401,0.009049774,0.063348416,0,1,0.68,24,0.96,0.004524887,0.063348416,0.018099548,0.009049774,0,0,0,0.423076923,0.709285047,0.6413194,2,Shepherd
224,MalcolmX009,0.016652789,0.021482098,0,1,0.304136253,314,0.763990268,0.012156536,0.034304746,0.010824313,0.027477102,0.01582015,0.001165695,0.018484596,0.186511241,0.71342966,0.54987989,2,MalcolmX
225,ISIS010,0.008658009,0.025974026,0,1,0.4,9,0.45,0,0,0,0.012987013,0,0,0.001443001,0.438672439,0.83534367,0.633154671,1,ISIS
226,WBC423,0.056745899,0.016069635,1,0,0.581227437,230,0.83032491,0.042684968,0.008536994,0.007532641,0.011047874,0.018747908,0.000334784,0.019919652,0.174757282,0.688168126,0.721707328,1,WBC
227,LiberalJudaism144,0.015102975,0.009153318,1,0,0.514018692,86,0.803738318,0.019679634,0.013272311,0.021510297,0.008237986,0.005949657,0.000457666,0.015102975,0.31624714,0.606949735,0.398193615,2,LiberalJudaism
228,MalcolmX010,0.021069265,0.022122728,0,1,0.191489362,153,0.65106383,0.015275217,0.009481169,0.016328681,0.028180142,0.004213853,0.001316829,0.018698973,0.221227285,0.719954463,0.58817652,2,MalcolmX
229,Bahai27,0.021551724,0.025862069,0,1,0.4,7,0.7,0,0,0,0.017241379,0.012931034,0,0.004310345,0.426724138,-0.080271412,0.660000784,4,Bahai
